Date,Open,High,Low,Close,Volume,year,quarter,CloseLag1,log_return,log_return_lag1,log_return_lag2,Target
2012-10-01,49.099998474121094,57.099998474121094,46.0,54.5,19094400,2012,4,,,,,0
2013-01-01,54.97999954223633,65.0,50.040000915527344,61.630001,30029000,2013,1,54.5,0.122948,,,1
2013-04-01,61.560001373291016,69.75,55.25,64.089996,84940900,2013,2,61.630001,0.03914,0.122948,,1
2013-07-01,64.5,84.41999816894531,63.52000045776367,80.93,55785500,2013,3,64.089996,0.233296,0.03914,0.122948,1
2013-10-01,80.7300033569336,83.69000244140625,70.83999633789062,83.160004,63303100,2013,4,80.93,0.027182,0.233296,0.03914,1
2014-01-01,82.27999877929688,116.47000122070312,80.55000305175781,91.43,101607100,2014,1,83.160004,0.094807,0.027182,0.233296,1
2014-04-01,91.55000305175781,96.48999786376953,64.20999908447266,89.860001,180816100,2014,2,91.43,-0.017321,0.094807,0.027182,0
2014-07-01,90.0199966430664,94.48999786376953,76.8499984741211,82.5,94026100,2014,3,89.860001,-0.085455,-0.017321,0.094807,0
2014-10-01,82.05000305175781,97.4000015258789,75.2300033569336,81.610001,91629000,2014,4,82.5,-0.010846,-0.085455,-0.017321,0
2015-01-01,81.81999969482422,95.16999816894531,76.36000061035156,84.410004,88790100,2015,1,81.610001,0.033734,-0.010846,-0.085455,1
2015-04-01,83.58999633789062,93.62000274658203,75.69999694824219,76.389999,100039200,2015,2,84.410004,-0.099834,0.033734,-0.010846,0
2015-07-01,76.95999908447266,85.25,65.33000183105469,68.860001,99954600,2015,3,76.389999,-0.103776,-0.099834,0.033734,0
2015-10-01,69.51000213623047,85.66999816894531,69.33000183105469,79.68,79550300,2015,4,68.860001,0.145943,-0.103776,-0.099834,1
2016-01-01,77.79000091552734,78.6500015258789,47.31999969482422,76.839996,174338700,2016,1,79.68,-0.036293,0.145943,-0.103776,0
2016-04-01,76.44000244140625,82.0,69.0,74.669998,107633400,2016,2,76.839996,-0.028647,-0.036293,0.145943,0
2016-07-01,74.26000213623047,92.45999908447266,71.30000305175781,91.690002,99548600,2016,3,74.669998,0.205335,-0.028647,-0.036293,1
2016-10-01,91.55999755859375,93.3499984741211,65.79000091552734,66.089996,117722200,2016,4,91.690002,-0.327396,0.205335,-0.028647,0
2017-01-01,66.75,92.45999908447266,66.75,83.279999,108785600,2017,1,66.089996,0.231191,-0.327396,0.205335,1
2017-04-01,83.2699966430664,104.80000305175781,80.76000213623047,97.0,102518800,2017,2,83.279999,0.152503,0.231191,-0.327396,1
2017-07-01,97.72000122070312,111.44999694824219,94.4000015258789,105.389999,92347600,2017,3,97.0,0.082957,0.152503,0.231191,1
2017-10-01,105.30000305175781,116.88999938964844,95.3499984741211,101.739998,113652300,2017,4,105.389999,-0.035247,0.082957,0.152503,0
2018-01-01,102.05000305175781,139.89999389648438,100.23999786376953,127.110001,105179200,2018,1,101.739998,0.222632,-0.035247,0.082957,1
2018-04-01,125.83999633789062,138.64999389648438,117.23999786376953,121.120003,114331600,2018,2,127.110001,-0.048271,0.222632,-0.035247,0
2018-07-01,120.0,157.1199951171875,119.5999984741211,145.979996,108598900,2018,3,121.120003,0.186688,-0.048271,0.222632,1
2018-10-01,147.19000244140625,172.6699981689453,117.72000122070312,159.679993,156984000,2018,4,145.979996,0.089702,0.186688,-0.048271,1
2019-01-01,155.9600067138672,200.0,152.32000732421875,192.850006,119549700,2019,1,159.679993,0.188741,0.089702,0.186688,1
2019-04-01,193.50999450683594,221.0,179.0800018310547,205.580002,108171000,2019,2,192.850006,0.063923,0.188741,0.089702,1
2019-07-01,210.35000610351562,226.8300018310547,163.25999450683594,169.960007,116132500,2019,3,205.580002,-0.190272,0.063923,0.188741,0
2019-10-01,170.07000732421875,185.6199951171875,151.05999755859375,164.449997,132765000,2019,4,169.960007,-0.032957,-0.190272,0.063923,0
2020-01-01,166.10000610351562,202.0,107.75,130.220001,150699700,2020,1,164.449997,-0.233381,-0.032957,-0.190272,0
2020-04-01,125.01000213623047,190.33999633789062,115.5,187.360001,153075400,2020,2,130.220001,0.363807,-0.233381,-0.032957,1
2020-07-01,187.3699951171875,248.75,174.52000427246094,215.130005,123346000,2020,3,187.360001,0.138211,0.363807,-0.233381,1
2020-10-01,222.75,259.010009765625,201.6199951171875,239.610001,130152400,2020,4,215.130005,0.10777,0.138211,0.363807,1
2021-01-01,240.11000061035156,282.7699890136719,217.85000610351562,248.429993,122885700,2021,1,239.610001,0.036148,0.10777,0.138211,1
2021-04-01,253.25999450683594,268.8800048828125,217.60000610351562,238.740005,96779600,2021,2,248.429993,-0.039786,0.036148,0.10777,0
